iter	Logloss
0	0.6569392841
1	0.6323142406
2	0.6067779083
3	0.5859457323
4	0.5671313589
5	0.5509925712
6	0.5392281864
7	0.523200671
8	0.5103972239
9	0.4985034092
10	0.489763939
11	0.4796237722
12	0.4729863055
13	0.465511818
14	0.4575570517
15	0.4492874371
16	0.4419029019
17	0.4348993973
18	0.4279547212
19	0.4235710873
20	0.4177947505
21	0.4129385774
22	0.4066997578
23	0.40290126
24	0.401265031
25	0.3991865163
26	0.3972987103
27	0.3942737874
28	0.3913963136
29	0.3877690666
30	0.3870372774
31	0.3851297947
32	0.3833572854
33	0.3820278071
34	0.3812092645
35	0.380446292
36	0.379113063
37	0.3778308287
38	0.37709035
39	0.3743293648
40	0.3730626131
41	0.3710268082
42	0.3698581727
43	0.3689122775
44	0.3675858819
45	0.3654907538
46	0.3640572888
47	0.3628779501
48	0.3621044892
49	0.3599683766
50	0.3591102821
51	0.3582579613
52	0.35720131
53	0.3564279792
54	0.3550076192
55	0.3532528744
56	0.3523200125
57	0.3515650153
58	0.3505008055
59	0.35015864
60	0.3497110369
61	0.3480081977
62	0.347068255
63	0.3465010961
64	0.3450223364
65	0.343994767
66	0.343107089
67	0.3420928416
68	0.3411192026
69	0.3398873696
70	0.3390329062
71	0.3374674391
72	0.3357722004
73	0.334484965
74	0.3334061984
75	0.3327085617
76	0.3317379744
77	0.3314559216
78	0.3308659574
79	0.3295079062
80	0.3286166289
81	0.3276297097
82	0.3270199421
83	0.3259735804
84	0.3241818333
85	0.3232758419
86	0.3223569899
87	0.3212179365
88	0.3200278444
89	0.3190997591
90	0.3175954039
91	0.3167518086
92	0.3163571465
93	0.315621585
94	0.3150320329
95	0.3143070624
96	0.314009911
97	0.3129255244
98	0.3123849254
99	0.3116357854
100	0.310772747
101	0.3094741759
102	0.3091943681
103	0.308344587
104	0.3072778871
105	0.3070492314
106	0.3062819971
107	0.3055230476
108	0.3044519261
109	0.3039468453
110	0.3034706616
111	0.302466153
112	0.3007311659
113	0.3001673985
114	0.299273785
115	0.2983854963
116	0.2975827682
117	0.2967352807
118	0.2958178627
119	0.2952104958
120	0.2945407545
121	0.2936665499
122	0.2925705806
123	0.2922812356
124	0.2918530552
125	0.2912524924
126	0.2902485291
127	0.2892147704
128	0.2884815081
129	0.2877001698
130	0.2874581978
131	0.2866683329
132	0.2856693018
133	0.2851052587
134	0.2848890749
135	0.283830509
136	0.2827070683
137	0.2819884699
138	0.2815084667
139	0.2805780515
140	0.279939341
141	0.2795966554
142	0.2791705939
143	0.2787247115
144	0.2773411936
145	0.2765758429
146	0.275234495
147	0.2747764622
148	0.2745468175
149	0.2733546562
150	0.2725432899
151	0.2716839773
152	0.2707764
153	0.2693961162
154	0.268632436
155	0.2671289768
156	0.2665228967
157	0.2662551744
158	0.2654089844
159	0.2651648294
160	0.2648717282
161	0.2645718455
162	0.2640848566
163	0.2627455023
164	0.26135681
165	0.2601360095
166	0.2592438578
167	0.2589534597
168	0.2584395813
169	0.2576298527
170	0.2561618771
171	0.2555997969
172	0.2552865409
173	0.2545646989
174	0.2542740443
175	0.2538192651
176	0.2534803026
177	0.2526413212
178	0.2517505377
179	0.2513523126
180	0.2511941879
181	0.2508634716
182	0.2497410922
183	0.2493449004
184	0.2489524723
185	0.2486180618
186	0.2480590139
187	0.2466163237
188	0.2456900293
189	0.2450055303
190	0.2443910243
191	0.2442649608
192	0.2433090418
193	0.2420364419
194	0.2410177628
195	0.2405511755
196	0.2397651041
197	0.2388958278
198	0.23773329
199	0.2374410615
200	0.2366651874
201	0.2364687924
202	0.2359012917
203	0.2349673232
204	0.234407885
205	0.2334673426
206	0.2330069163
207	0.2320210029
208	0.2308809649
209	0.2301933843
210	0.2293251456
211	0.2288098859
212	0.228188559
213	0.2273029782
214	0.2267155988
215	0.2264253859
216	0.2256355832
217	0.2246365382
218	0.2237445301
219	0.222445262
220	0.2214705638
221	0.2208764
222	0.2202215241
223	0.2191844937
224	0.2183999145
225	0.2177960607
226	0.2172232839
227	0.2162565321
228	0.215415008
229	0.2148976877
230	0.2138591453
231	0.2131742562
232	0.2123501826
233	0.2117999677
234	0.2110199479
235	0.2104756222
236	0.2100937976
237	0.2098635127
238	0.2091517503
239	0.2085316591
240	0.2082353102
241	0.207705363
242	0.2070250164
243	0.2065871155
244	0.2058526066
245	0.2050113041
246	0.2042857857
247	0.2035887941
248	0.2027933831
249	0.2023506131
250	0.2011685356
251	0.2004346225
252	0.2001393209
253	0.1995673072
254	0.1989271308
255	0.1987035985
256	0.1981369443
257	0.1975307388
258	0.1968960705
259	0.1962737436
260	0.1956864075
261	0.1954202874
262	0.195262285
263	0.1950280223
264	0.194166583
265	0.1939151552
266	0.1933600075
267	0.1925797548
268	0.1920183184
269	0.1916221707
270	0.1910581008
271	0.1906497367
272	0.189874922
273	0.1892682436
274	0.1885496001
275	0.1878963698
276	0.1871321731
277	0.1868624712
278	0.1862634615
279	0.1859931243
280	0.1857484787
281	0.1855174276
282	0.1851914814
283	0.1847807024
284	0.1845742246
285	0.1838975987
286	0.1833977564
287	0.18281577
288	0.1823276184
289	0.1822075394
290	0.1818445518
291	0.1814975282
292	0.180932157
293	0.1806333981
294	0.1801212228
295	0.1793040339
296	0.1789917735
297	0.1782972961
298	0.1776206425
299	0.1769845144
